nL,xL,delta2Norm,delta2NormnL,delta2NormxL,stddevMSE,minGridMSE,SD min error %,MERSize,optnLRange,optxLRange
0.0404216315871976,0.629879829272711,0.0373959022855271,0.0453737323253676,0.00797783006410805,194.75542870263,857.057648588604,22.7237256470848,260,0.13,0.15
0.218546204382821,0.483374255543897,0.0144558545585454,0.0341781756701555,0.0197225026433008,139.587881173209,277.4533474897,50.3103972023226,225,0.09,0.135
0.143631340974118,0.618134727961643,0.0328424962669253,0.06328287197642,0.0304404035443832,26.7525949388872,27.7852669475415,96.2833828064207,6,0.05,0.05
0.184969128090461,0.574222675278153,0.0203006387949804,0.0451363932622629,0.024835769586531,12.6331799033226,2.87861199118532,438.863589188365,118,0.08,0.0800000000000001
0.113214399974759,0.617463805874726,0.0321702597807599,0.0545579497229703,0.0223877187182447,15.637302915961,5.38624466982117,290.319208920752,83,0.065,0.0700000000000001
0.103455277911091,0.512424993486389,0.0183687176187969,0.0298893879120914,0.0115207290259508,59.6560332745323,0.933364943238484,6391.50138503645,159,0.055,0.14
0.0762471676195101,0.677810415147332,0.0251257108051172,0.0373861145130385,0.0122604080794493,26.98668678544,61.1027371506995,44.166084931485,136,0.08,0.095
0.079069187816361,0.353911544152619,0.0382690449905741,0.0525214045733085,0.0142523605964356,269.301701824585,133.445205881968,201.80695143352,152,0.07,0.11
0.143610934720225,0.505882172581601,0.0290247085127694,0.054811564225956,0.0257868559510578,25.8144761852506,4.52874104536691,570.014401942011,105,0.065,0.08
0.22763108362697,0.384319215589599,0.0163951456979818,0.0410401117379648,0.0246657357424587,39.9284398372232,269.472569435336,14.817255767773,236,0.095,0.145
